keyword,count
pobierz cytowanie,1590
więcej,1590
ukryj,1590
cc-by 4.0,717
schizofrenia,292
zaburzenia afektywne,264
psychoterapia,218
psychiatria dzieci i młodzieży,181
neuropsychologia i neuropsychiatria,171
epidemiologia,165
skale diagnostyczne,151
dominika dudek,145
farmakoterapia i farmakologia,140
psychiatria środowiskowa,131
nerwice,120
katarzyna klasa,94
jerzy a. sobański,91
uzależnienia,89
depresja,87
zaburzenia odżywiania się,85
schizophrenia,81
seksuologia,71
psychiatria sądowa,70
janusz rybakowski,61
depression,61
marcin siwek,54
od redakcji,51
krzysztof rutkowski,48
jerzy samochowiec,42
andrzej kiejna,41
